0,1,2,3,4,5,6,7,8,9
0.5432019,0.89256155,1.9982879,-0.14292192,0.5051072,0.5050402,1.7603602,-0.12473109,-0.86141604,1.69778
1.2031288,-1.2203338,-1.5668485,1.8799722,-0.36017212,-1.8093696,-2.1865163,0.9680511,0.63138664,-0.91132194
0.14310122,0.81604797,0.35387018,-0.6501247,1.0099728,-0.8516047,0.87322646,0.80955625,-0.032494802,-0.016106073
-0.30738255,0.43455446,-0.6164886,2.084655,0.513008,0.22439599,0.3163407,-1.5461078,1.4349556,0.49009544
-1.3610438,-0.2882576,1.0599018,-0.27095473,-1.0761243,1.2465582,-0.6428871,0.120120704,-0.41611588,-0.1600542
-1.5039091,1.8571844,-0.1802167,-0.47484472,1.2614661,-0.6464694,0.59665936,0.096129686,-1.0791689,0.87405944
2.0016084,-1.4003909,0.7811752,-0.84204257,-0.41556096,0.27407283,0.229282,-0.032021295,-0.009873398,0.8365569
2.7502031,1.395292,-1.8944787,2.1078362,-0.71989644,0.3938116,-0.80918443,-0.38243884,-1.4980196,0.6081864
-0.3338102,-0.62357455,0.10211146,-0.13995297,-0.13832378,0.79913235,-0.24934345,-0.48521894,1.0122415,-1.3041368
-1.1481827,-1.4170698,1.015335,-0.5731441,-0.42877394,-1.9686506,0.9049299,1.2561901,-0.9555506,-0.07212913
0.9343008,-2.165377,-0.29969016,-1.1698959,-1.568959,0.03995668,-1.0736953,1.1854042,-1.6488557,1.4392365
-0.107941926,0.92732835,-1.0048095,0.79740226,0.4300624,-1.0655892,0.3685045,0.30351928,1.7757787,1.3988268
0.1441874,-1.0283391,1.5783018,0.43483728,1.2140902,0.36506888,1.5487577,-0.6484502,-0.31209987,2.912579
0.75545555,0.62107444,-0.42905715,-0.014329422,-0.05024402,-1.2015581,0.6709343,0.33623552,0.9083829,-1.4475814
