0,1,2,3,4,5,6,7,8,9
-0.43455446,0.90885365,-0.8238647,0.5280861,-0.20956689,-0.082883865,0.11273308,0.1433976,0.35808247,0.27145463
0.17628108,0.29296666,-0.14516284,-0.1450385,0.70863616,0.6574654,0.42370814,0.0047601312,-0.42902786,-0.16946721
-1.7249278,0.89173853,0.6298896,-1.0329001,-0.2507355,0.12326869,0.36770383,0.25790817,0.1984174,0.30306733
-2.0192132,-0.33277285,0.022081263,0.031563178,-0.24351762,0.39975825,-0.38590297,-0.3173464,-0.21250038,0.31082204
-0.21509622,-0.25191393,-0.030774564,-0.50519896,0.058768317,-1.2331592,0.29738265,0.90117383,0.25586876,-1.1840814
-1.1794491,0.35285082,-0.8632608,0.600116,-0.28376877,-0.25132725,-0.49155366,-1.1123258,-0.13801911,-0.25620288
-0.07878127,-0.053592924,0.4298778,0.6657148,0.4465809,-0.19876152,-0.36334968,0.13019551,-0.3731385,0.62470806
0.705389,-0.86959654,0.07181826,-0.24509823,-0.23529136,-0.4604475,-0.9628886,0.015942588,-0.8524673,0.7614942
-1.0564657,0.8949535,-0.29529485,-1.0453627,0.24553153,0.39097136,-0.9145741,0.19102985,0.2974234,0.2559102
-0.8767813,0.044250444,0.45152646,0.08572894,-0.28046715,0.81400245,-0.55330193,0.72038686,0.7697434,-0.059173346
1.3126187,-0.99045694,-0.52297074,0.020373799,0.42263877,0.009096911,0.008789718,-0.089401774,-0.13605717,-0.041574955
1.9903306,-0.42416745,-0.57391196,-0.18457459,-0.48001784,0.32772362,0.77145344,-0.13805602,-0.25004783,-0.32957608
-1.2317796,-0.52011245,0.27175108,0.38076907,0.99626637,-0.49698943,-0.009127736,0.34381506,-0.6579077,0.71210897
-0.339301,-0.80910796,0.010235667,0.025294125,0.81393194,-0.8515214,-0.29256272,0.6614603,-0.0014735945,1.0044098
0.34075403,-0.42487544,-1.0914129,0.52887845,-1.4200662,-0.5625387,0.5138721,-0.48689568,-0.91964865,0.2431454
-0.17920047,-0.7124994,0.76956415,-0.32300615,-0.7943058,0.07533398,-0.43233645,-0.4394428,0.3114157,1.0451407
