i,j,parameter
9,17,-0.8604683876037598
4,5,0.9535493850708008
7,9,-0.3660513162612915
11,20,-0.15369844436645508
20,21,0.7297450304031372
7,16,-0.5409650802612305
10,20,-0.39106738567352295
13,18,-0.25934624671936035
0,16,0.7046682834625244
9,11,-0.8034749031066895
1,5,0.8264076709747314
17,9,0.44461333751678467
5,4,0.4814581871032715
9,7,0.030205845832824707
20,11,0.30067384243011475
21,20,-0.929926872253418
16,7,0.30611252784729004
20,10,0.3488720655441284
18,13,-0.07676923274993896
16,0,0.2659618854522705
11,9,0.4118387699127197
5,1,-0.33238112926483154
-1,-1,0.43708646297454834
