0,1,2,3,4,5,6,7,8,9
0.9971979,-0.51356465,-0.49685287,1.3621689,0.33961543,-1.9486954,-0.78358114,-0.41448843,-2.2810764,0.5802257
-0.5881844,1.6869553,-0.98906267,0.26676208,1.1201521,-0.079406366,-0.31397817,0.27435964,-0.07137129,1.1420457
0.59220535,1.6465943,-1.170117,0.107635684,-0.3661574,0.4662263,-1.4606869,0.6323234,-0.4604969,0.4978556
0.48702672,-0.5425947,-0.8273939,-0.93830615,0.39158684,1.0533651,-0.34688604,1.5795941,0.9811738,1.1933529
-0.8681827,0.9543611,-0.6152284,1.9462941,-0.1382113,3.4420714,-0.17226341,1.9010956,-0.9394787,1.7336792
-0.15675741,0.78676665,0.7578714,-0.32777196,2.4685495,0.3589985,1.802985,-0.032994382,0.6444951,0.30897123
0.1696554,-1.0622566,1.4438567,-0.18386622,0.8037227,-1.6427758,-0.40906158,0.8284364,-0.115923755,-0.60770136
0.085299514,0.11967464,-0.027559847,-1.6079987,0.050939083,-0.68886065,-0.2012107,-0.54546607,0.3517551,-1.1192948
-0.3485956,-1.32445,-0.2949872,-0.43292737,0.40608686,-0.14935786,-0.059531093,1.0304444,-0.034908105,1.0848528
-1.2035831,1.2469125,-0.18374407,-0.012236178,-2.129237,-1.1820039,-1.7104566,-0.21693867,-1.5414424,0.78229916
